,Taxon,CBA001,ECO004_D0101_SG1_1_S0,DRL001,BRF001,TRO001,LEI010,MLP001,CMN001
116,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Sinobacteraceae|g__Sinobacteraceae_unclassified,0.0,0.0,1644277.0,705706.0,484370.0,0.0,0.0,197958.0
117,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis,0.0,0.0,1386833.0,0.0,0.0,0.0,0.0,69446.0
118,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Rhodanobacter,0.0,0.0,332914.0,0.0,0.0,0.0,0.0,0.0
119,k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella,0.0,0.0,186891.0,0.0,660652.0,0.0,0.0,0.0
120,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis|s__Sphingopyxis_unclassified,0.0,0.0,1386833.0,0.0,0.0,0.0,0.0,69446.0
121,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_vibrioides,0.0,0.0,419754.0,0.0,0.0,0.0,0.0,0.0
122,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Rhodanobacter|s__Rhodanobacter_unclassified,0.0,0.0,332914.0,0.0,0.0,0.0,0.0,0.0
123,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Rhodopseudomonas|s__Rhodopseudomonas_unclassified,0.0,0.0,302541.0,36750.0,0.0,0.0,0.0,0.0
124,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_veronii,0.0,0.0,268750.0,0.0,0.0,0.0,0.0,0.0
125,k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified,0.0,0.0,186891.0,0.0,660652.0,0.0,0.0,0.0
126,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_vibrioides|t__Caulobacter_vibrioides_unclassified,0.0,0.0,419754.0,0.0,0.0,0.0,0.0,0.0
127,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_veronii|t__GCF_000350565,0.0,0.0,268750.0,0.0,0.0,0.0,0.0,0.0
128,k__Archaea|p__Euryarchaeota,0.0,0.0,0.0,21107.0,3496651.0,0.0,0.0,0.0
129,k__Archaea|p__Euryarchaeota|c__Methanobacteria,0.0,0.0,0.0,21107.0,0.0,0.0,0.0,0.0
130,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales,0.0,0.0,0.0,125141.0,0.0,0.0,0.0,0.0
131,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales,0.0,0.0,0.0,58678.0,417137.0,0.0,0.0,0.0
132,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,0.0,0.0,0.0,21107.0,0.0,0.0,0.0,0.0
133,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales|f__Gallionellaceae,0.0,0.0,0.0,125141.0,0.0,0.0,0.0,0.0
134,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales|f__Hydrogenophilaceae,0.0,0.0,0.0,58678.0,417137.0,0.0,0.0,0.0
135,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylocystaceae,0.0,0.0,0.0,49154.0,0.0,0.0,0.0,0.0
136,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptosporangiaceae,0.0,0.0,0.0,30260.0,0.0,0.0,0.0,0.0
137,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae,0.0,0.0,0.0,21107.0,0.0,0.0,0.0,0.0
138,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae|g__Saccharomonospora,0.0,0.0,0.0,874073.0,0.0,0.0,0.0,0.0
139,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales|f__Gallionellaceae|g__Gallionellaceae_unclassified,0.0,0.0,0.0,125141.0,0.0,0.0,0.0,0.0
